Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
Armenia,petroleum_n_other_liquids,2000,0.015144154,0,10.7777,3069.6,32.65152041,9.299489413,5.2
Armenia,nuclear,2000,0.021574,0.021574,10.7777,3069.6,32.65152041,9.299489413,0
Armenia,renewables_n_other,2000,0.011314868,0.012730848,10.7777,3069.6,32.65152041,9.299489413,0
Aruba,all_energy_types,2000,0.015072691,0,2.96548,90.866,165.8782267,5.082715429,0.9
Aruba,coal,2000,0,0,2.96548,90.866,165.8782267,5.082715429,0
Aruba,natural_gas,2000,0,0,2.96548,90.866,165.8782267,5.082715429,0
Aruba,petroleum_n_other_liquids,2000,0.015072691,0,2.96548,90.866,165.8782267,5.082715429,0.9
Aruba,nuclear,2000,,,2.96548,90.866,165.8782267,5.082715429,0
Aruba,renewables_n_other,2000,0,0,2.96548,90.866,165.8782267,5.082715429,0
Australia,all_energy_types,2000,4.798319763,9.639283805,718.054,19057.72,251.7782696,6.682394031,349.0802186
Australia,coal,2000,2.024106203,6.627983036,718.054,19057.72,251.7782696,6.682394031,192.7655291
Australia,natural_gas,2000,0.849552543,1.250564221,718.054,19057.72,251.7782696,6.682394031,42.93325603
Australia,petroleum_n_other_liquids,2000,1.748792672,1.583014727,718.054,19057.72,251.7782696,6.682394031,113.3814335
Australia,nuclear,2000,,,718.054,19057.72,251.7782696,6.682394031,0
Australia,renewables_n_other,2000,0.175868345,0.177721822,718.054,19057.72,251.7782696,6.682394031,0
Austria,all_energy_types,2000,1.357642822,0.565510967,350.4684,8013.915,169.4106841,3.873795248,62.03495158
Austria,coal,2000,0.097155545,0.017165422,350.4684,8013.915,169.4106841,3.873795248,11.61827859
Austria,natural_gas,2000,0.272599593,0.064062293,350.4684,8013.915,169.4106841,3.873795248,15.97394199
Austria,petroleum_n_other_liquids,2000,0.524199033,0.043425979,350.4684,8013.915,169.4106841,3.873795248,34.442731
Austria,nuclear,2000,,,350.4684,8013.915,169.4106841,3.873795248,0
Austria,renewables_n_other,2000,0.463688652,0.440857274,350.4684,8013.915,169.4106841,3.873795248,0
Azerbaijan,all_energy_types,2000,0.507418543,0.83656206,32.8859,8122.74,62.46888898,15.42966874,35.78106473
Azerbaijan,coal,2000,0.00011918,0,32.8859,8122.74,62.46888898,15.42966874,0.010505302
Azerbaijan,natural_gas,2000,0.209277396,0.209277396,32.8859,8122.74,62.46888898,15.42966874,11.77055942
Azerbaijan,petroleum_n_other_liquids,2000,0.280745584,0.611789345,32.8859,8122.74,62.46888898,15.42966874,24
Azerbaijan,nuclear,2000,,,32.8859,8122.74,62.46888898,15.42966874,0
