,Unnamed: 0,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
27720,27720,World,all_energy_types,2000,402.3787223886808,399.8552158428318,66398.356393,6141880.59902,65.51392784367779,6.060070523539365,23494.916283117
27721,27721,World,coal,2000,98.65762994538656,96.35223567253496,66398.356393,6141880.59902,65.51392784367779,6.060070523539365,8901.519950071843
27722,27722,World,natural_gas,2000,89.60485067943,89.284232201125,66398.356393,6141880.59902,65.51392784367779,6.060070523539365,4571.850603326
27723,27723,World,petroleum_n_other_liquids,2000,156.6662310775443,156.3524197410136,66398.356393,6141880.59902,65.51392784367779,6.060070523539365,10021.545729717078
27724,27724,World,nuclear,2000,25.65052127917325,25.65052127917325,66398.356393,6141880.59902,65.51392784367779,6.060070523539365,0.0
27725,27725,World,renewables_n_other,2000,31.759231023146743,32.215806948985,66398.356393,6141880.59902,65.51392784367779,6.060070523539365,0.0
29106,29106,World,all_energy_types,2001,405.2203621937143,405.5472603474746,67935.205642,6220160.56762,65.14628646455705,5.964806588341177,24258.080886456
29107,29107,World,coal,2001,99.65626417533356,100.62253043886616,67935.205642,6220160.56762,65.14628646455705,5.964806588341177,9372.45887465767
29108,29108,World,natural_gas,2001,89.9313550030595,91.07169452946,67935.205642,6220160.56762,65.14628646455705,5.964806588341177,4736.163826731
29109,29109,World,petroleum_n_other_liquids,2001,157.84758543802394,155.599378877645,67935.205642,6220160.56762,65.14628646455705,5.964806588341177,10149.458185069314
29110,29110,World,nuclear,2001,26.38297596440445,26.38297596440445,67935.205642,6220160.56762,65.14628646455705,5.964806588341177,0.0
29111,29111,World,renewables_n_other,2001,31.44678607489284,31.870680537099,67935.205642,6220160.56762,65.14628646455705,5.964806588341177,0.0
30492,30492,World,all_energy_types,2002,413.9709106223128,407.35835876944304,69813.837803,6298597.4702,65.72430014473808,5.929639791332656,24463.109021826
30493,30493,World,coal,2002,102.20566985113796,101.53874260410691,69813.837803,6298597.4702,65.72430014473808,5.929639791332656,9467.45142965988
30494,30494,World,natural_gas,2002,94.060202677925,93.015439943915,69813.837803,6298597.4702,65.72430014473808,5.929639791332656,4754.981620364
30495,30495,World,petroleum_n_other_liquids,2002,159.3442758238204,153.93557188127215,69813.837803,6298597.4702,65.72430014473808,5.929639791332656,10240.675971804989
30496,30496,World,nuclear,2002,26.671801824546,26.671801824546,69813.837803,6298597.4702,65.72430014473808,5.929639791332656,0.0
30497,30497,World,renewables_n_other,2002,31.73461379288345,32.196802515603,69813.837803,6298597.4702,65.72430014473808,5.929639791332656,0.0
31878,31878,World,all_energy_types,2003,428.50163239364326,423.1305352254321,72365.060333,6377289.06582,67.19181582817995,5.9213884493679805,25016.047459541
31879,31879,World,coal,2003,110.73420015103116,109.18101217643526,72365.060333,6377289.06582,67.19181582817995,5.9213884493679805,9714.21755993948
31880,31880,World,natural_gas,2003,96.78718448268,96.017745427345,72365.060333,6377289.06582,67.19181582817995,5.9213884493679805,4974.681563292
31881,31881,World,petroleum_n_other_liquids,2003,162.76075297218082,159.02637524606843,72365.060333,6377289.06582,67.19181582817995,5.9213884493679805,10327.148336304794
31882,31882,World,nuclear,2003,26.295364207393,26.295364207393,72365.060333,6377289.06582,67.19181582817995,5.9213884493679805,0.0
31883,31883,World,renewables_n_other,2003,32.093241918358245,32.61003816819038,72365.060333,6377289.06582,67.19181582817995,5.9213884493679805,0.0
33264,33264,World,all_energy_types,2004,450.6891419001005,445.4459056604958,76045.707548,6456652.84538,69.8022880729273,5.926555967877948,26169.805807764
33265,33265,World,coal,2004,120.26882746150632,117.93743842534616,76045.707548,6456652.84538,69.8022880729273,5.926555967877948,10524.394847466909
33266,33266,World,natural_gas,2004,99.794809654715,98.69077144902,76045.707548,6456652.84538,69.8022880729273,5.926555967877948,5119.268510389
33267,33267,World,petroleum_n_other_liquids,2004,169.55927017750517,166.96336658077956,76045.707548,6456652.84538,69.8022880729273,5.926555967877948,10526.1424499044
33268,33268,World,nuclear,2004,27.24894844964241,27.24894844964241,76045.707548,6456652.84538,69.8022880729273,5.926555967877948,0.0
